5	113
10	197
15	389
20	552
25	692
30	654
35	1271
40	927
45	1180
50	1288
55	1750
60	1656
65	1934
70	2255
75	2701
80	2904
85	3472
90	3493
95	4259
100	4429
105	4682
110	5257
115	5437
120	5938
125	7241
130	7381
135	6999
140	8377
145	7373
150	7998
155	8232
160	8816
165	8746
170	9460
175	9773
180	10483
185	10789
190	11004
195	11977
200	13000
205	13579
210	19442
215	14023
220	15019
225	15416
230	14158
235	14508
240	14716
245	19461
250	18538
255	19704
260	17446
265	19178
270	19475
275	18879
280	19227
285	21141
290	23591
295	21375
300	23290
305	26672
310	23219
315	23740
320	24423
325	24517
330	25629
335	27035
340	27887
345	27554
350	30152
355	48850
360	48465
365	54963
370	53728
375	43140
380	101423
385	36766
390	38441
395	38589
400	39016
405	46944
410	41615
415	90487
420	52989
425	58971
430	46815
435	47425
440	57508
445	53634
450	50031
455	58079
460	51578
465	55462
470	52884
475	47159
480	50201
485	48622
490	50204
495	51379
500	51464
